,OpenTime,Side,Pair,Amount,Status,OpenPrice,ClosePrice,SL,TP,PnL
227,02/20 08:01:39,LONG,CHRUSDT,294.1176470588271,Close,0.4312,0.4261000000000001,0.4261000000000001,0.4346,-1.6253235294117665
228,02/20 08:02:15,LONG,MINAUSDT,98.03921568627464,Close,1.358,1.3427000000000002,1.3427000000000002,1.3682,-1.6316372549019504
229,02/20 08:03:04,LONG,JTOUSDT,62.89308176100707,Close,2.2898,2.26595,2.26595,2.3057,-1.642512578616368
230,02/20 08:30:30,SHORT,ZILUSDT,5882.35294117647,Close,0.02425,0.02408,0.024505,0.02408,0.8583529411764705
231,02/20 10:06:51,SHORT,MAVUSDT,57.47126436781619,Close,0.6975,0.7236,0.7236,0.6801,-1.5415862068965551
232,02/20 10:46:22,LONG,API3USDT,48.54368932038847,Close,4.1202,4.1408,4.0893,4.1408,0.7989902912621354
233,02/20 11:16:30,LONG,PENDLEUSDT,34.84320557491323,Close,2.7048,2.7335,2.6617500000000005,2.7335,0.9047560975609747
234,02/20 12:08:04,LONG,ARBUSDT,136.9863013698656,Close,2.0009,2.0082,1.9899500000000003,2.0082,0.7249041095890358
235,02/20 12:36:41,LONG,ATOMUSDT,15.151515151515392,Close,10.499,10.565,10.400000000000002,10.565,0.8399242424242398
236,02/20 12:37:24,LONG,LTCUSDT,3.2258064516128795,Close,70.53,70.84,70.065,70.84,0.7714838709677436
237,02/20 12:38:56,LONG,SNXUSDT,30.30303030303038,Close,3.757,3.79,3.707500000000001,3.79,0.8851515151515148
238,02/20 12:46:18,SHORT,LINAUSDT,14285.71428571416,Close,0.00975,0.00968,0.009855,0.00968,0.861714285714287
239,02/20 13:15:07,SHORT,ALGOUSDT,499.9999999999996,Close,0.2011,0.1991,0.2041,0.1991,0.9004500000000001
240,02/20 13:15:26,SHORT,LOOMUSDT,1030.9278350515478,Close,0.10356,0.10259,0.105015,0.10259,0.8942371134020617
241,02/20 13:15:29,SHORT,IOTAUSDT,370.3703703703655,Close,0.2902,0.2875,0.29425,0.2875,0.8935185185185199
242,02/20 13:15:49,SHORT,ENJUSDT,181.81818181818167,Close,0.3584,0.3529,0.36665,0.3529,0.9358363636363636
243,02/20 13:15:51,SHORT,IDUSDT,217.3913043478238,Close,0.6563,0.6517,0.6632,0.6517,0.8583260869565232
244,02/20 13:16:13,SHORT,ADAUSDT,161.2903225806456,Close,0.6302,0.6395,0.6395,0.624,-1.6031451612903231
245,02/20 13:17:08,SHORT,WAVESUSDT,82.64462809917204,Close,2.3824,2.4005500000000004,2.4005500000000004,2.3703,-1.6983925619834674
246,02/20 13:17:12,SHORT,XLMUSDT,1250.0000000000075,Close,0.12061,0.11981,0.1218099999999999,0.11981,0.8502374999999991
247,02/20 13:17:22,SHORT,RNDRUSDT,30.48780487804884,Close,6.2128,6.18,6.262,6.18,0.8115853658536584
248,02/20 13:17:50,SHORT,GMTUSDT,434.7826086956581,Close,0.2864,0.2841,0.2898499999999999,0.2841,0.8764782608695635
249,02/20 13:18:21,SHORT,XEMUSDT,3333.333333333392,Close,0.0389,0.0386,0.0393499999999999,0.0386,0.8713333333333311
250,02/20 13:19:45,SHORT,BNBUSDT,0.8928571428571392,Close,357.02,358.7,358.7,355.9,-1.820267857142856
251,02/20 13:20:21,SHORT,XTZUSDT,124.99999999999989,Close,1.121,1.133,1.133,1.113,-1.641625
252,02/20 13:39:40,LONG,1000RATSUSDT,909.0909090909174,Close,0.26432,0.26542,0.26267,0.26542,0.7587090909090887
253,02/20 13:45:31,SHORT,CRVUSDT,111.111111111111,Close,0.572,0.563,0.5854999999999999,0.563,0.9374444444444444
254,02/20 13:47:30,SHORT,LEVERUSDT,55248.618784530205,Close,0.0018412,0.0018231,0.00186835,0.0018231,0.899276243093923
255,02/20 13:49:08,SHORT,POWRUSDT,232.55813953488232,Close,0.3774,0.3731,0.38385,0.3731,0.9132325581395354
256,02/20 14:06:05,LONG,ZECUSDT,3.4482758620689755,Close,25.43,24.995,24.995,25.72,-1.586189655172414
257,02/20 14:18:23,LONG,GTCUSDT,40.00000000000014,Close,1.558,1.5205000000000002,1.5205000000000002,1.583,-1.5608200000000003
258,02/20 14:27:50,LONG,LTCUSDT,1.1111111111111216,Close,70.31,68.96000000000001,68.96000000000001,71.21,-1.5766222222222308
259,02/20 14:45:46,SHORT,IDUSDT,232.55813953488533,Close,0.6562,0.66265,0.66265,0.6519,-1.6541046511627917
260,02/20 15:32:30,LONG,ARKMUSDT,31.446540880503093,Close,1.0145,1.0463,0.9668,1.0463,0.9670974842767296
261,02/20 15:33:12,LONG,ZETAUSDT,15.29051987767576,Close,2.3036,2.2055,2.2055,2.369,-1.533723241590207
262,02/20 16:35:57,SHORT,ATAUSDT,909.0909090908946,Close,0.1315,0.1304,0.13315,0.1304,0.8814545454545474
263,02/20 17:00:12,LONG,OCEANUSDT,116.27906976744116,Close,0.6928,0.7014,0.6799,0.7014,0.9184418604651168
264,02/20 17:17:26,SHORT,TRXUSDT,1298.7012987013106,Close,0.13804,0.1391949999999999,0.1391949999999999,0.13727,-1.6807727272726207
265,02/20 19:05:07,LONG,STXUSDT,35.97122302158325,Close,2.6331,2.6609,2.591400000000001,2.6609,0.9042841726618692
